pseudo_id,type,reason,expiration_date
dbc43769b3fb6804d1b1992e6491bf3d,Økonomi,Pris,2026-11-15
95278ba8adc6b0fdd3f509baf2f967e4,Produkt,Anden avis/produkt,2025-05-20
53f42387042ed9cb158618747d74dea6,Produkt,Redaktionelt indhold / holdning,2025-05-09
d58d431c768aa802457db2134c04e7fa,Andet,Ingen årsag – ingen tlf kontakt,2026-01-03
c1759212b2bbec62900012de41386782,Økonomi,Pris,2025-05-16
555edd907cc4194ff6ac3441ebd3dbbe,Produkt,Redaktionelt indhold / holdning,2025-05-17
61578793cf57b4e94b2a2bc108ad67f3,Tid,Ikke tid,2025-12-13
086325f12bc218ac0373548697877ce3,Produkt,Redaktionelt indhold / holdning,2025-05-19
296ebed7fd47d502188ba062c21e58ac,Andet,kunden ønsker ikke at oplyse,2025-06-13
042313fde35eb5e19b2106bf175cd5e9,Økonomi,Pris,2026-02-14
51c2d08fe703a913e16ff2fa55176d2a,Økonomi,Pris,2026-03-04
0181daedf475221291df382a21589255,Økonomi,Pris,2025-12-09
6bea216a1e3d25a48f391aff36d22901,Økonomi,Pris,2025-05-09
4262ff5f39aee5987c964b9d43dd7ddf,Andet,RVS,2025-06-07
dd70d17ba6653dad85b4c6d304785ebb,Produkt,Redaktionelt indhold / holdning,2025-05-15
66f57e32e0c74a2c96496546c59b27d6,Andet,Ingen årsag – ingen tlf kontakt,2025-05-21
564ef54581efe26367b066edef38e432,Andet,Ingen årsag – ingen tlf kontakt,2025-06-09
c06405b974fa01559f3fc5f787babcd9,Andet,Ingen årsag – ingen tlf kontakt,2025-05-22
e4ef9939aade2fbcfc42abe59387806f,Produkt,Redaktionelt indhold / holdning,2025-06-08
0f624e1da2a58718e4a3ab95c6c6add2,Andet,RVS,2025-06-16
cf9bb6c697c20d5eb0942feb43cd07b3,Tid,Ikke tid,2025-06-20
7372bb3754849f8850ba4fdc28946eea,Produkt,Digital platform,2025-06-17
245f21fbcfbc2c99dbf41818ef3774fc,Tid,Ikke tid,2025-05-08
0f7356c2012978b27f40bf90da63b25c,Tid,Ikke tid,2025-05-12
ff81f902de50b4df3d8f54c395bbdea4,Tid,Ikke tid,2025-05-19
b40b77f1118e3d44b8c5f5fe5f434cf9,Tid,Ikke tid,2025-05-04
0c67f17cceae3e2cec14347f059d0a00,Tid,Ikke tid,2025-05-18
6ca57084366df9159aab1cda13a41114,Økonomi,Pris,2025-07-10
efe89095184e910f2b51824e8c4439c4,Andet,kunden ønsker ikke at oplyse,2025-05-02
64f71bebfa046a629b48594e23e6df3a,Andet,kunden ønsker ikke at oplyse,2025-12-06
d0a723ae18afcbcc10a871182eef6575,Økonomi,Pris,2025-05-22
7a70cfa85256557dbf368c6287d20378,Andet,kunden ønsker ikke at oplyse,2025-05-20
7edeb8ee21028717df5a792e83205006,Digitalt,Tekniske problemer (kunde),2025-12-22
e847ea728b05af68539b431924d9d824,Tid,Ikke tid,2025-09-20
b12854af8cf6a231204268ca2875d75b,Tid,Ikke tid,2025-05-07
e858f5449697bc5909c5ed72bee136f2,Andet,RVS,2025-07-13
cde126123f199937279bcad3d9e01720,Andet,Ingen årsag – ingen tlf kontakt,2025-07-04
7f9c334a7773fd1aad4a9549571eb396,Tid,Ikke tid,2025-05-21
12dc9427032920bd3b9add2d59f92105,Andet,kunden ønsker ikke at oplyse,2025-05-03
e40d8324bf7473ffb9377b7885c5e1fb,Tid,Ikke tid,2025-08-07
c41d91fd81be3a4323a066782b30ff44,Andet,Ingen årsag – ingen tlf kontakt,2025-05-20
7ac115daad07fcf9761b2b44f3f703db,Produkt,Redaktionelt indhold / holdning,2025-05-03
1cde84f1aa8759c31f345196e5a0ac4a,Økonomi,Pris,2026-06-20
aa6e269cf153a1cb18bc691e3f947241,Produkt,Redaktionelt indhold / holdning,2025-05-14
492d85c60fd84f8d385988348a085314,Tid,Ikke tid,2025-07-08
10ff7398704c037f6a9acefe44160e7b,Andet,kunden ønsker ikke at oplyse,2025-05-05
dfdb1befea4c4fbac21e561c435811e2,Tid,Ikke tid,2025-07-04
cb92ae67bee72e40d07beb9773352800,Økonomi,Pris,2025-11-15
87ea5962d114ff09f1e4f50555fb2a67,Andet,kunden ønsker ikke at oplyse,2025-05-22
09605f5feba08df0b294e49c34e8361d,Produkt,Redaktionelt indhold / holdning,2025-06-20
c7ebffd40754673a2cbfb814685a9e7c,Tid,Ikke tid,2025-05-21
ea2607eb559fc1a29cc0985002eb4993,Andet,Administrativt,2025-12-05
5eb134a15957b96a04fdaa64d3990e0e,Økonomi,Pris,2025-05-09
e0e2dfb741cb21eb041e20ea6520556e,Tid,Ikke tid,2025-11-04
00acdfda9fa250382f43bdf7da59d814,Produkt,Redaktionelt indhold / holdning,2025-06-14
c3a2adcf58f23aa02be556824b1d0f70,Produkt,Redaktionelt indhold / holdning,2025-05-18
f8ca4217d40e82b809f2ecd679606f05,Tid,Ikke tid,2025-09-04
1afe42c07c73086a3d7239d14b5418a0,Produkt,Uden for målgruppe,2025-05-21
6bd0f400ff4d5f60356a683f2b2ead41,Tid,Ikke tid,2026-02-07
07995ffec6801cd5915707d56aff671e,Digitalt,Tekniske problemer (kunde),2025-06-03
aab906f1e94c3d75a4aad601d00431f1,Tid,Ikke tid,2025-05-20
6131759dabf5ee546602447d5770a54f,Produkt,Redaktionelt indhold / holdning,2025-05-04
7bd3476e9c4d1e139317924f42a5b8fb,Andet,kunden ønsker ikke at oplyse,2025-05-08
58a4805391b2ad17014167eb291a9e1d,Økonomi,Pris,2025-05-20
5582f3359c519dabc59888fe33454786,Digitalt,Tekniske problemer (kunde),2025-05-04
2c82f7a3f92409b674dbf5d3321f88c9,Tid,Ikke tid,2025-08-14
3ef2f6f92113adbf4b7b9a654898ba4a,Produkt,Redaktionelt indhold / holdning,2025-05-22
7dd87a725fe51ac8df32f9000b37e564,Andet,Administrativt,2025-07-03
77d030727b03fd6c9a637362091819d1,Tid,Ikke tid,2026-02-21
f8b94f20bd0c0d13361f4ca2f2d3dffa,Andet,kunden ønsker ikke at oplyse,2025-05-22
c81237e08e7023521f2b624d5c18fcf9,Andet,kunden ønsker ikke at oplyse,2025-05-04
94b676c80fe51500f9b72c7222d01021,Økonomi,Pris,2026-01-22
bb86350b32e733fb3db74e5d46c4c4ac,Økonomi,Pris,2025-12-11
28cde128aeb3f6579a2f6b02edd80a9a,Andet,Ingen årsag – ingen tlf kontakt,2025-05-21
72adc6d24abd2e177f104280a93c8b36,Tid,Ikke tid,2025-06-06
1fc6c306171021f85d6e02cf977da4f1,Andet,kunden ønsker ikke at oplyse,2025-05-07
3c50279c1b9fa031b0aea0db774dbf3b,Økonomi,Pris,2025-06-05
eaa673792cafda1755c469aa3093b123,Økonomi,Pris,2026-01-02
1c970787962b3364c125d8dc4f6f9b48,Tid,Ikke tid,2025-05-06
4df356691cd1556ee0adba27f45d8bec,Tid,Ikke tid,2025-05-27
2e61a4b9eba3b903cdb5ae94b9805e47,Produkt,Redaktionelt indhold / holdning,2025-05-16
fc58cfb884d82f8ff7398450731734d8,Produkt,Redaktionelt indhold / holdning,2025-06-07
bb67464668525ef9adea575cbb6b55d1,Tid,Ikke tid,2025-06-20
178acb3d7e922de240c43c165a813e33,Tid,Ikke tid,2026-01-07
62d6f6fbb6b7aed51301d5204f735ac3,Tid,Ikke tid,2025-05-04
c471b03cd445e41200a69e3b4cfdd9c5,Tid,Ikke tid,2025-05-23
de7b1fb9571eb0bfa9a5286fd5dabb7e,Produkt,Redaktionelt indhold / holdning,2025-05-04
a49247a5a877b7120e1fc45bab3435c2,Andet,kunden ønsker ikke at oplyse,2025-05-09
dfd3a068c917e611fbfa2b9a2fec9f07,Tid,Ikke tid,2025-05-16
607f4019185a2666418cd2bfd51ddb77,Tid,Ikke tid,2025-06-13
e8c8a5888ff8ecbe509165aa9657154b,Tid,Ikke tid,2025-09-14
0a2c05c75d874ab240347e05ec34d089,Andet,Ingen årsag – ingen tlf kontakt,2025-05-04
d6b04f2cfd26bfcddd84203818a8ddde,Tid,Ikke tid,2025-05-05
59412282eb0ad7b5ff852d30641808fd,Produkt,Redaktionelt indhold / holdning,2025-05-22
5422e7ec71c443cb70b22fda17cc0994,Tid,Ikke tid,2025-11-10
ba0c979afb67053e190747598d211ce8,Tid,Ikke tid,2025-05-08
148f206186a57489b85ac823dcf1a46c,Tid,Ikke tid,2025-06-15
c4001ea45fd4a1b949a2c6bf4cf15d53,Tid,Ikke tid,2025-09-17
b506be7c9a29252ae978684305eb3da5,Andet,kunden ønsker ikke at oplyse,2025-05-03
ac2d3c89f1c3f45158ff06bb091219db,Andet,kunden ønsker ikke at oplyse,2025-05-22
45693993923550bd9222c213478e0653,Produkt,Redaktionelt indhold / holdning,2025-05-18
0df5b387b78e35a51c02f8560b6beea2,Tid,Ikke tid,2025-09-08
b5702853f7eb0115759ddbc7df0976c0,Andet,RVS,2025-11-18
d12a65d3b86ee43619c89e2b0f6211d8,Andet,kunden ønsker ikke at oplyse,2025-05-18
58e02888045f1da0bf22ed5463423158,Andet,RVS,2025-12-25
72260acf5e480340359ff4b64eb87274,Andet,kunden ønsker ikke at oplyse,2025-05-07
ac0c634965a44feaf5f3a20d95de3fdc,Andet,kunden ønsker ikke at oplyse,2025-08-16
082681be98abd06c01c30e80a3fb0790,Produkt,Redaktionelt indhold / holdning,2026-01-09
11b03d02ea6b3dba705fedac764a799e,Tid,Ikke tid,2025-05-08
1e0ee1a98bb5daf6118705a5b2986dca,Økonomi,Pris,2025-05-16
11d87c1424309f7d91b606b3a84d0d8b,Tid,Ikke tid,2025-05-20
d7df96d130e472e3d558d2318e4b5b95,Tid,Ikke tid,2025-05-20
46372de78e0b9375dee15073d1b5ad6f,Andet,Administrativt,2025-09-25
122d86776d560a09a86c821924297a8e,Tid,Ikke tid,2025-07-09
014a894f1b5194be36a9abcba96789ed,Tid,Ikke tid,2025-09-18
6b97216a6178c74405357c7296debf76,Tid,Ikke tid,2025-05-21
0ed22aaaff7efc4fec0edc8fd96ad571,Andet,kunden ønsker ikke at oplyse,2025-10-04
862228c71e06513517a016fb17580c94,Tid,Ikke tid,2026-02-07
00bb9af8a62895982518727b0ee03565,Tid,Ikke tid,2025-06-16
4e834057d5879fe473e6575f05c7bec2,Tid,Ikke tid,2025-05-20
51b8ddd8afac0e7b7233c503a76cf7b9,Andet,kunden ønsker ikke at oplyse,2025-05-09
087ebc5dd84a5a63f00974b2dc26c2a8,Andet,kunden ønsker ikke at oplyse,2025-07-04
79bcea0ca1df80809925ac6826965e65,Tid,Ikke tid,2025-07-20
7f1fbd1dddd6cfd4329fdb318e8bcfb0,Andet,kunden ønsker ikke at oplyse,2025-05-10
beb2f43fd48148b2fa7e5fc19c7ad072,Andet,kunden ønsker ikke at oplyse,2026-01-11
e8460504ad911245b41cc4d1a5c69ec3,Produkt,Anden avis/produkt,2025-06-09
53a5a0ac68ef0f39ff5d68a23ad1b88e,Økonomi,Pris,2025-05-13
cd59224fcfcc404981604bd2c95ed713,Andet,kunden ønsker ikke at oplyse,2025-06-20
b1b4ca2372f53316b106967700debe0b,Tid,Ikke tid,2025-06-09
746c3c7e52c85a005037bead64aa2949,Tid,Ikke tid,2025-05-10
cec3fe960d60daafddc79bce70bdb365,Økonomi,Pris,2025-05-07
06c8ac777c34dd5d16d5a192a7ec9b8f,Tid,Ikke tid,2025-07-04
b654b3aea937958ac6ad385f1985554c,Tid,Ikke tid,2025-08-23
68f122f11bd427db445b55d31d330b93,Andet,kunden ønsker ikke at oplyse,2025-07-31
2a73451a7f4e0be51f5a8e30082805b4,Andet,kunden ønsker ikke at oplyse,2025-05-16
38675660bddbeeeb7652f2b312725eb4,Andet,kunden ønsker ikke at oplyse,2025-05-07
95475eb5c95d53d33288731c7721d070,Produkt,Redaktionelt indhold / holdning,2025-08-08
4b95adccb4398fefc81398af8a257a45,Tid,Ikke tid,2025-05-14
0337580bff96617791df065cc65b78e1,Andet,Ingen årsag – ingen tlf kontakt,2025-12-10
cfb0f260bbd8b345ebb474ee8b3a31c3,Tid,Ikke tid,2025-06-18
184b7d504cea2726418cfe3ffee86e47,Produkt,Redaktionelt indhold / holdning,2025-05-16
9dab05fdf67b0b139c8520a54e9b97ce,Tid,Ikke tid,2025-05-10
004b2a16f2f9167482481fec96be4856,Andet,Ingen årsag – ingen tlf kontakt,2025-05-04
70a170d32950120143a1af34636ae8ab,Produkt,Redaktionelt indhold / holdning,2025-05-19
73fe5fb3c7941d317c7d1d0af638d6d7,Produkt,Redaktionelt indhold / holdning,2025-05-17
bf9a9dc001237444190fe7f1cbe80850,Tid,Ikke tid,2025-09-08
941c2b3054d4aff517aef077da1ed7a0,Tid,Ikke tid,2025-10-20
7080837382b57577727af45c00841473,Andet,Ingen årsag – ingen tlf kontakt,2025-05-12
b6f3a3976e7ea243c1b5922b001f9efa,Andet,kunden ønsker ikke at oplyse,2025-06-20
7b74009236e8b58936ab88e293fa7c7d,Økonomi,Pris,2025-10-10
e4c5b02a0d4e20c09552d31e50c13fc4,Produkt,Redaktionelt indhold / holdning,2025-05-05
c806f370485dca6c667bf0c1000c949e,Tid,Ikke tid,2025-10-26
ff7c3d8147aca626a7efaa9120e040eb,Produkt,Redaktionelt indhold / holdning,2025-05-09
e06e61f1de9acb6d848b17a97f063a37,Produkt,Redaktionelt indhold / holdning,2025-05-02
254773d08d5ddfb82fdfad28371db425,Økonomi,Pris,2026-01-07
ad372c8a7a3b8d134c9eb5cf7267af63,Økonomi,Pris,2025-12-20
2f1e1f0e95db029b590b69b5b9eb6952,Produkt,Anden avis/produkt,2025-05-20
f0fa152f4037b954272eee47098ea09c,Produkt,Redaktionelt indhold / holdning,2025-11-20
d318a1f659b2a6ce46d0be0f99cbe2a7,Tid,Ikke tid,2025-05-10
9254dd7538b530e8e5015f612d51d553,Tid,Ikke tid,2025-05-12
c57715723b559d41744bb899bb494e69,Tid,Ikke tid,2025-05-12
c37504d892a2f779e98c50ee0579ec35,Produkt,Redaktionelt indhold / holdning,2025-05-21
433aa510b9dc273e221bde28e7296866,Produkt,Redaktionelt indhold / holdning,2025-05-09
5f9c3f215ecb6d25befc985b9c24beb3,Økonomi,Pris,2025-05-09
9f2b0d3c1d53f558f70bfad4c79df597,Andet,RVS,2025-08-20
6de367620679c429ff462d9a576b2c18,Andet,RVS,2025-06-23
845b4add6adcbc933e973db308d89080,Andet,Ingen årsag – ingen tlf kontakt,2025-05-06
b975e2f5a62b8b0601700a67787da14d,Salg,Annulleret køb,2025-03-10
5588b87ecc885fe81f54f875ca129b92,Tid,Ikke tid,2025-05-21
e014d5d423eec7606a2303d7bb68f7d6,Produkt,Redaktionelt indhold / holdning,2025-05-11
fd4b17098faf5af31d4bbf9088565549,Andet,RVS,2025-06-23
c9c0ee891e75d4768f4cacb8d505a47b,Produkt,Redaktionelt indhold / holdning,2025-11-10
ea212521bdc1794b4dc4914a201a8bcf,Tid,Ikke tid,2025-11-17
46f011284f5c30e7bc7dce5e9df85374,Tid,Ikke tid,2025-05-04
7ad00b86b8634e354c143637d68475af,Økonomi,Pris,2025-12-20
ac1680a3704fb229d6f2b8669ae4d0ec,Økonomi,Pris,2025-12-17
d434ebf14da785b30d1a825afafc7b71,Økonomi,Pris,2025-05-07
b8170fdd0a9a8da6aedce9a9214f5b19,Tid,Ikke tid,2025-09-24
72d1e04b4efb1a26e958273f601ecbd6,Andet,Ingen årsag – ingen tlf kontakt,2025-05-21
0fc48cd35b20bd28075e74a9879ddaef,Produkt,Anden avis/produkt,2025-05-09
f5de57c057c6ec27e94fb8d54a176f19,Andet,Ingen årsag – ingen tlf kontakt,2025-05-08
5e8af72025c9d68c8ca63ce6c5ae208c,Produkt,Redaktionelt indhold / holdning,2025-08-02
0cb912d21dd09ce5dbef80537ee33207,Andet,kunden ønsker ikke at oplyse,2025-05-05
afdd170767f40ce0175d30926b5de7d8,Økonomi,Pris,2025-08-15
1b266f44493167a1a622c3125819bfd3,Økonomi,Pris,2025-05-21
b1cff7fa22236dcb1b0a989f25fd5c43,Salg,Annulleret køb,2025-03-20
e5c1e5dfabe1d1b80ee995d84de2201d,Tid,Ikke tid,2025-05-16
bf9046fa8bf362613bb568886c425a4c,Tid,Ikke tid,2025-07-22
9529d220006c3cb9dbe9a74a46013a79,Andet,Dårlig kundeservice / oplevelse,2025-10-21
1af06db48739c4e618bb73c2cdd09ece,Andet,Administrativt,2025-05-22
4ac06699f06056cb181a486f622657a7,Andet,kunden ønsker ikke at oplyse,2025-05-15
a57f8cf69d62981546eab4ad5d846f52,Økonomi,Pris,2026-01-04
0eb265b24e2c22e395e6582f6e1c3f5a,Andet,kunden ønsker ikke at oplyse,2025-05-05
958256f5ac2353959f4f7f76b7cdda54,Produkt,Redaktionelt indhold / holdning,2025-05-16
f0aab63ad685e003555b7e8c0644dba3,Tid,Ikke tid,2025-06-05
24d200dbbdc90ade21b149b9ebc16d98,Andet,kunden ønsker ikke at oplyse,2025-05-20
b28ed967404925126fefb4e03b60eee9,Andet,RVS,2025-08-11
cd6c3e6398909fdb7208c8a41682afec,Produkt,Redaktionelt indhold / holdning,2025-05-11
01ae2661bedce685224dd58830b94e86,Tid,Ikke tid,2025-05-10
e6396f8167a1adfb29e8f99589b25a3e,Tid,Ikke tid,2025-09-20
c7bdb7da31ed15bcc2b8dcee4686c508,Andet,Ingen årsag – ingen tlf kontakt,2025-06-23
514346f9ea73786308ed7465bb307dac,Produkt,Redaktionelt indhold / holdning,2025-05-14
fc21356db5d9032949d7d27f4ad6a4f7,Andet,kunden ønsker ikke at oplyse,2025-05-06
5b6a7ea3f7caeadaadd87d90cc4e4780,Andet,kunden ønsker ikke at oplyse,2025-05-13
0786c281ec5d2458a226bda45e874c35,Tid,Ikke tid,2025-05-21
e209e48b572e7337edd6c072ebab6cc2,Andet,kunden ønsker ikke at oplyse,2025-12-22
af67fd7c157c69d9d9ee61096189a7f3,Tid,Ikke tid,2025-05-08
9c002c13eedc708f9732104b70028094,Tid,Ikke tid,2025-05-05
660fab39539b87b268e59b0d5cc6be74,Produkt,Redaktionelt indhold / holdning,2025-06-09
07e66a948735615a86d845bd1a71c5cb,Tid,Ikke tid,2025-05-06
564ef54581efe26367b066edef38e432,Andet,kunden ønsker ikke at oplyse,2025-07-09
6b127ea1d52e08eaeb4a25097d1c35b7,Andet,kunden ønsker ikke at oplyse,2025-05-11
bc6682848d7c1b202333e98041418be1,Tid,Ikke tid,2025-05-20
1b4b0d2897d5b4c6d4496d8c9e44c15b,Produkt,Anden avis/produkt,2025-08-20
71f7820ce499735a3a517ec239a7c1a1,Produkt,Redaktionelt indhold / holdning,2025-04-16
c402e82b274b94ea1c549636425759a2,Andet,kunden ønsker ikke at oplyse,2026-04-29
e7a301fe623aea209b0a5aff28ae5933,Tid,Ikke tid,2025-05-20
f7c658d9da4d4f824a47efac0722d303,Produkt,Anden avis/produkt,2025-06-04
adcf67549ea5003d9f1ab69ed748c94a,Andet,kunden ønsker ikke at oplyse,2025-03-30
0f6de2e197e7f32606ce2b45b80ab39e,Produkt,Redaktionelt indhold / holdning,2025-05-13
a9546fc46e09cf57bd17910e7f16c724,Andet,kunden ønsker ikke at oplyse,2025-05-22
bdba6e71913f8d10883e64d4a3eb100a,Andet,kunden ønsker ikke at oplyse,2025-05-11
7fbcf23d92ff3ad185541f9b4626b20e,Produkt,Redaktionelt indhold / holdning,2025-05-06
81650fef63fd494f8fb784e3f2b35c4f,Økonomi,Pris,2026-01-05
83da59eb70f526294fc5903113df888f,Andet,Ingen årsag – ingen tlf kontakt,2025-06-16
6323ed1aa67dc767d55d97846a20a59c,Andet,Administrativt,2025-09-19
0a06a3d1ec0555b3b9e04186dbd26621,Økonomi,Pris,2025-05-22
7a6e57a47889f4199c69b7f4de87e338,Økonomi,Pris,2026-01-13
44f3a70ad5f6c7d3b83909cff1ad231a,Tid,Ikke tid,2025-05-04
bb57881a5cf90e79b2b7fbf18fcba6ef,Økonomi,Pris,2026-02-22
9320c0ecb452f188cb6fecb6fa4ecb70,Økonomi,Pris,2025-05-09
ab41382298fc046bfa048d55ce9b1f0d,Tid,Ikke tid,2025-11-04
23a6f8a1edbc18b9f0f6371e1a325529,Tid,Ikke tid,2025-11-10
fcff08f9900492e80d3bc88cd2816a0b,Tid,Ikke tid,2025-07-15
69bd53d9aabb419a60a4d017008fa7f4,Andet,kunden ønsker ikke at oplyse,2025-05-04
ad7180fe09827b1267495a0a6a51b728,Tid,Ikke tid,2025-11-03
16ff7e9941858bc50b4d9a4e98455f28,Andet,Administrativt,2025-07-03
c43fda59ec054f920ad3eeb9d753de5d,Tid,Ikke tid,2025-05-06
4896ea98f4c230ae7176e09053413ffc,Andet,kunden ønsker ikke at oplyse,2025-07-04
23c18ba7347830b64be8b764005b8ba0,Økonomi,Pris,2025-05-11
b768d697a9b69a640ac06e346e9ab41a,Andet,kunden ønsker ikke at oplyse,2025-11-04
500a242e549566077a58249a19090812,Økonomi,Pris,2025-05-05
af32c827e26bda8f6a3e8c5769d4b802,Andet,kunden ønsker ikke at oplyse,2025-05-03
e293d3ecc73fa3a96ec0e0ae898c6f70,Produkt,Redaktionelt indhold / holdning,2025-05-14
fa71593f4cefdc83dfb80bc4c89c7fcc,Andet,kunden ønsker ikke at oplyse,2025-05-04
a2a931ef8e5f6fe348f878077b5a6ee7,Andet,kunden ønsker ikke at oplyse,2025-08-08
64be7e486e1a7a9c0654c3ae81310447,Andet,kunden ønsker ikke at oplyse,2025-05-21
02fe16a67b6e92fb1525c8dc4f5e19d2,Produkt,Redaktionelt indhold / holdning,2025-06-08
55de7730fb65fb3e90afdc6e82e46d13,Økonomi,Pris,2025-11-08
9032519e0fe05946b3e715ff4c2c75c1,Produkt,Anden avis/produkt,2025-05-20
848ee26ce93babd7d9d9d93b2df65b6b,Andet,kunden ønsker ikke at oplyse,2025-06-18
ac5c578c40656689a251c866ba3d6f98,Tid,Ikke tid,2025-05-20
ecbee44ff4421f80598cd038ea794911,Produkt,Redaktionelt indhold / holdning,2025-07-20
228e171206fad2c38a76aae4211549ec,Tid,Ikke tid,2025-09-23
fe93224d8d68377945c02f1116cda92a,Produkt,Anden avis/produkt,2025-06-02
b830221f1ce2bb617658079c1c1b13fe,Andet,Administrativt,2025-04-24
8285b49c0a8f3e74ceeb7db67dee6150,Andet,Ingen årsag – ingen tlf kontakt,2025-07-05
60b56255d3af837409ac85a30c69ed51,Økonomi,Pris,2025-06-21
995b95ede4107aab54f00f40a337f04f,Tid,Ikke tid,2025-10-19
c9f9144d6d7f9feea4a3f7b8508c7512,Produkt,Anden avis/produkt,2025-05-21
